"Busy (For Me)";"Aurea"
"Hey Brother";"Avicii";"Dan Tyminski"
"Sexta-Feira (Emprego Bom Já)";"Boss AC"
"Call Me Maybe";"Carly Rae Jepsen"
"Magic";"Coldplay"
"Baby Fica";"David Carreira";"Anselmo Ralph"
"What Life Is For";"David Fonseca"
"Let It Go";"Demi Lovato"
"O Amor é Mágico";"Expensive Soul"
"Maria Albertina";"Humanos"
"I Love It";"Icona Pop";"Charli XCX"
"Mentira";"João Pedro Pais"
"Love Me Again";"John Newman"
"Can't Get You Out Of My Head";"Kylie Minogue"
"Born This Way";"Lady Gaga"
"Royals";"Lorde"
"Os Maridos Das Outras";"Miguel Araújo"
"Best Song Ever";"One Direction"
"Counting Stars";"OneRepublic"
"Just Give Me a Reason";"P!nk";"Nate Ruess"
"Jardins Proibidos";"Paulo Gonzo"
"Intervalo";"Per7Ume"
"Happy";"Pharrell Williams"
"A Paixão";"Rui Veloso"
"Não voltarei a ser fiel";"Santos e Pecadores"
"Borrow";"Silence 4"
"Ho Hey";"The Lumineers"
"Porque é que vens";"Tony Carreira"
"Drive By";"Train"
