"Basta Poco";"Vasco Rossi"
"Blasco" Rossi";"Vasco Rossi"
"Buoni O Cattivi";"Vasco Rossi"
"Colpa Del Whisky";"Vasco Rossi"
"Come Stai";"Vasco Rossi"
"E Adesso Che Tocca A Me";"Vasco Rossi"
"E...";"Vasco Rossi"
"Gioca Con Me";"Vasco Rossi"
"Hai Mai";"Vasco Rossi"
"Io No";"Vasco Rossi"
"Liberi Liberi";"Vasco Rossi"
"Mi Si Escludeva";"Vasco Rossi"
"Il Mondo Che Vorrei";"Vasco Rossi"
"Quanti Anni Hai";"Vasco Rossi"
"Rewind";"Vasco Rossi"
"Señorita";"Vasco Rossi"
"Senza Parole";"Vasco Rossi"
"Siamo Soli";"Vasco Rossi"
"Gli Spari Sopra (Celebrate)";"Vasco Rossi"
"Stupido Hotel";"Vasco Rossi"
"Ti Prendo E Ti Porto Via";"Vasco Rossi"
"Un Senso";"Vasco Rossi"
"Vieni Qui";"Vasco Rossi"
"Vivere";"Vasco Rossi"
