"Dude (Looks Like A Lady)";"Aerosmith"
"Country House";"Blur"
"My Prerogative";"Bobby Brown"
"Talk";"Coldplay"
"IchIsIchIsIchIsIch";"Die Fantastischen Vier"
"Without Me";"Eminem"
"Freedom! '90";"George Michael"
"DARE";"Gorillaz"
"You Sexy Thing";"Hot Chocolate"
"Stark";"Ich + Ich"
"Ruby";"Kaiser Chiefs"
"Celebration";"Kool & the Gang"
"Summer in the City";"The Lovin' Spoonful"
"Our Velocity";"Maxïmo Park"
"Relax, Take It Easy";"MIKA"
"Suedehead";"Morrissey"
"Lithium";"Nirvana"
"I Should've Been After You";"Rooney"
"Lucky Day";"Sasha"
"Stay";"Shakespears Sister"
"Shut Your Eyes";"Snow Patrol"
"True";"Spandau Ballet"
"Englishman In New York";"Sting"
"When You Were Young";"The Killers"
"California Dreamin'";"The Mamas & The Papas"
"Pretty Fly (For A White Guy)";"The Offspring"
"I'm Gonna Be (500 Miles)";"The Proclaimers"
"Apologize";"Timbaland";"OneRepublic"
"Sexbomb";"Tom Jones";"Mousse T."
"Funky Cold Medina";"Tone Lōc"
