"Dude (Looks Like A Lady)";"Aerosmith"
"El Alma al Aire";"Alejandro"
"Country House";"Blur"
"Cobarde";"Bustamante"
"La Lista De La Compra";"La Cabra Mecánica";"María Jiménez"
"Papeles Mojados";"Chambao"
"Si Tú Quisieras";"Efecto Mariposa"
"Amores De Barra";"Ella Baila Sola"
"Without Me";"Eminem"
"Freedom! '90";"George Michael"
"Standing In The Way Of Control";"Gossip"
"You Sexy Thing";"Hot Chocolate"
"Déjame Vivir";"Jarabe de Palo";"La Mari De Chambao"
"Fuera De Mí (Ya No Quiero Tu Querer)";"José El Francés";"Niña Pastori";"Vincente Amigo"
"Eres Para Mí";"Julieta Venegas"
"Ruby";"Kaiser Chiefs"
"La fuerza del destino";"Mecano"
"Cal Y Arena";"Merche"
"Como un Lobo";"Miguel Bosé";"Bimba Bosé"
"Lithium";"Nirvana"
"Estrella Polar";"Pereza"
"Sigo Llorando Por Ti";"Pignoise"
"Common People";"Pulp"
"Sueños Rotos";"La Quinta Estación"
"Pictures of You";"The Cure"
"When You Were Young";"The Killers"
"California Dreamin'";"The Mamas & The Papas"
"Pretty Fly (For A White Guy)";"The Offspring"
"Don't Stand So Close To Me";"The Police"
"Sexbomb";"Tom Jones";"Mousse T."
