"All The Small Things";"Blink-182"
"Toxic";"Britney Spears"
"Lovefool";"The Cardigans"
"Nie Genug";"Christina Stürmer"
"Fix You";"Coldplay"
"Precious";"Depeche Mode"
"Lemon Tree";"Fools Garden"
"Feel Good, Inc.";"Gorillaz"
"Cool";"Gwen Stefani"
"Move Your Feet";"Junior Senior"
"Mambo No. 5 (A Little Bit Of...)";"Lou Bega"
"I Try";"Macy Gray"
"Pass The Dutchie";"Musical Youth"
"Powerless (Say What You Want)";"Nelly Furtado"
"Hey Ya!";"OutKast"
"Beep";"The Pussycat Dolls"
"Losing My Religion";"R.E.M."
"Tonight";"Reamonn"
"Something Stupid";"Robbie Williams & Nicole Kidman"
"Lovin' Each Day";"Ronan Keating"
"Auch Im Regen";"Rosenstolz"
"Bounce";"Sarah Connor"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Alright";"Supergrass"
"No No Never";"Texas Lightning"
"Der Letzte Tag";"Tokio Hotel"
"We're Not Gonna Take It";"Twisted Sister"
"Beautiful Day";"U2"
"Maria";"US5"
"Buddy Holly";"Weezer"
