"Corazón partío";"Alejandro Sanz"
"No me canso";"Ana Torroja"
"Estadio Azteca";"Andrés Calamaro"
"All The Small Things";"Blink-182"
"Toxic";"Britney Spears"
"Ya nada volverá a ser como antes";"El Canto Del Loco"
"Lovefool";"The Cardigans"
"Pokito a poko";"Chambao"
"Fix You";"Coldplay"
"Que no";"Deluxe"
"No sé qué me das";"Fangoria"
"Soldadito marinero";"Fito & Fitipaldis"
"Turnedo";"Iván Ferreiro"
"19 días y 500 noches";"Joaquín Sabina"
"Mr. Brightside";"The Killers"
"Feo, fuerte y formal";"Loquillo y Trogloditas"
"Quédate a dormir";"M Clan"
"Manos vacías";"Miguel Bosé con Rafa Sánchez"
"Mañana";"Mikel Erentxun"
"Hey Ya!";"OutKast"
"Lola";"Pastora"
"Si quieres bailamos";"Pereza"
"Losing My Religion";"R.E.M."
"No Surprises";"Radiohead"
"Something Stupid";"Robbie Williams & Nicole Kidman"
"El talismán";"Rosana"
"Qué bonito";"Rosario"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Alright";"Supergrass"
"Buddy Holly";"Weezer"
