"Back To Black";"Amy Winehouse"
"Monster";"The Automatic"
"Loser";"Beck"
"No Rain";"Blind Melon"
"All The Small Things";"Blink-182"
"Toxic";"Britney Spears"
"Lovefool";"The Cardigans"
"Clocks";"Coldplay"
"Put Your Records On";"Corinne Bailey Rae"
"Crash Into Me";"Dave Matthews Band"
"Let's Dance";"David Bowie"
"Epic";"Faith No More"
"Do You Want To";"Franz Ferdinand"
"Been Caught Stealing";"Jane's Addiction"
"Mr. Brightside";"The Killers"
"My Friends Over You";"New Found Glory"
"So Sick";"Ne-Yo"
"Hey Ya!";"OutKast"
"Here Comes Your Man";"Pixies"
"Beep";"The Pussycat Dolls"
"Losing My Religion";"R.E.M."
"No Surprises";"Radiohead"
"I Wanna Be Sedated";"Ramones"
"Sympathy For The Devil";"The Rolling Stones"
"I Don't Feel Like Dancin'";"Scissor Sisters"
"Today";"The Smashing Pumpkins"
"Beautiful Day";"U2"
"Cherry Pie";"Warrant"
"Buddy Holly";"Weezer"
"Love Train";"Wolfmother"
