"Kryptonite";"3 Doors Down"
"Meine Stadt";"Auletta"
"Helicopter";"Bloc Party"
"Song 2";"Blur"
"Bubbly";"Colbie Caillat"
"The Man Who Sold the World";"David Bowie"
"Ertrinken";"Die Toten Hosen"
"Grounds for Divorce";"Elbow"
"Kiss with a Fist";"Florence and the Machine"
"No You Girls";"Franz Ferdinand"
"Pflaster";"Ich + Ich"
"Too Young to Die";"Jamiroquai"
"Kopf oder Zahl";"Jennifer Rostock"
"I Predict a Riot";"Kaiser Chiefs"
"Fire";"Kasabian"
"Suddenly I See";"KT Tunstall"
"Lass die Liebe regieren";"Madsen"
"Supermassive Black Hole";"Muse"
"Disco 2000";"Pulp"
"Under Pressure";"Queen & David Bowie"
"Spinner";"Revolverheld"
"Just Looking";"Stereophonics"
"Go! Go! Go!";"The BossHoss"
"Rock the Casbah";"The Clash"
"She Sells Sanctuary";"The Cult"
"The Lovecats";"The Cure"
"Steady, As She Goes";"The Raconteurs"
"Fell In Love With A Girl";"The White Stripes"
"Steamy Windows";"Tina Turner"
"Automatisch";"Tokio Hotel"
"Beautiful Day";"U2"
