"U Turn (Lili)";"Aaron"
"Foule Sentimentale";"Alain Souchon"
"Juste Avant Toi";"Anggun"
"Un Million De Lézards";"Aston Villa"
"Ta Douleur";"Camille"
"C'est Ma Terre";"Christophe Maé"
"On S'attache";"Christophe Maé"
"Pile Ou Face";"Corynne Charby"
"A Toutes Les Filles";"Didier Barbelivien et Félix Gray"
"Allo Allo Mr l'Ordinateur";"Dorothée"
"L'Invitation";"Etienne Daho"
"Plus Là";"Frédéric Lerner"
"Flou De Toi";"Gilles Gabriel"
"Je Te Survivrai";"Jean Pierre Francois"
"Femmes Je Vous Aime";"Julien Clerc"
"D.A.N.C.E.";"Justice"
"Jamais Loin De Toi";"Lââm"
"Jamais Seule";"Loane"
"Assis Par Terre";"Louisy Joseph"
"Je Veux Que Tu Me Mentes";"Lynnsha"
"Grave";"Mademoiselle K"
"Zouglou Dance";"Magic System"
"Princess";"NZH"
"Allo Le Monde";"Pauline"
"Le Vent De l'Hiver";"Raphaël"
"Manhattan-Kaboul";"Renaud et Axelle Red"
"Ciao Bella";"Rose"
"Ferme les yeux et imagine toi";"Soprano – Blacko"
"New Soul";"Yael Naim"
"C'est Chelou";"Zaho"
