"Ich Vermiss Dich (Wie Die Hölle) – Mallorca-Version";"Almklausi"
"LoLoLos Geht’s";"Almklausi"
"Wer Ist Dieser DJ";"Anna-Maria Zimmermann"
"Rumadai";"Arsenium"
"Amsterdam";"Axel Fischer"
"Santa Maria";"Chris Marlow"
"Wann Wird's Mal Wieder Richtig Sommer";"Creme 21"
"Erna Kommt";"Dieter De"
"Party, Palmen, Weiber Und'n Bier (Beach Mix)";"DJ Abschleppdienst"
"Hey Baby";"DJ Ötzi"
"Noch In 100.000 Jahren";"DJ Ötzi"
"Live Is Life";"DJ Ötzi und Hermes House Band"
"Those Were The Days";"Hermes House Band"
"Immer Wenn Ich Traurig Bin";"Jürgen"
"König Von Mallorca";"Jürgen Drews"
"Mädchen Mädchen";"Krümel"
"Herzfest";"Marco Bandero"
"Nina";"Michael Wendler"
"Sie Liebt Den DJ";"Michael Wendler"
"Orange Trägt Nur Die Müllabfuhr";"Mickie Krause"
"Ich Will Dich Für Immer";"Nic"
"Joana";"Peter Wackel"
"Manchmal Möchte Ich Schon Mit Dir";"Peter Wackel"
"Stand Up (For The Champions)";"Right Said Fred"
"Das Schäferlied";"Schäfer Heinrich"
"Schwarze Natascha";"Stefan Peters"
"Hände Hoch";"Strandgeier"
"Ich bin Ein Döner";"Tim Toupet"
"So A Schöner Tag (Der Flieger)";"Tim Toupet"
"Seit Mehr Als 1000 Jahren (Herz, Schmerz Und Dies Und Das)";"Zascha Moktan"
