"Diz-me Que Sim";"4TASTE"
"Sempre Que Te Vejo (Sinto Um Desejo) (Ao Vivo)";"4TASTE"
"Só Tu Podes Alcançar (Ao Vivo)";"4TASTE"
"Electric Mind";"André Indiana"
"Bailarina";"Angélico"
"Princesa (Beija-me Outra Vez)";"Boss AC"
"Definição de Amor";"Dama Bete"
"Desculpa Lá";"Diana Lucas"
"O Segredo";"Dogma"
"Para Mim Tanto Faz (Ao Vivo)";"D'ZRT"
"Querer Voltar";"D'ZRT"
"Verão Azul";"D'ZRT"
"Cause To Love You";"Fingertips"
"If You Give Up";"Hands On Approach"
"Bye, Bye (Vou-me Divertir)";"Just Girls"
"Entre O Sonho E A Ilusão";"Just Girls"
"Não Te Deixes Vencer";"Just Girls"
"O Jogo Já Começou";"Just Girls vs Gutto"
"Cuckoo Plan";"Loto"
"A Bigger Plan";"Lulla Bye"
"Won't Go Home Without You";"Maroon 5"
"Leoa Tigresa";"Mercado Negro"
"Gotta Leave My Troubles Behind";"Miss Li"
"Segunda Pele";"NBC"
"Um Tanto Ou Quanto Atarantado";"Os Azeitonas"
"Volta As Vezes Que Quiseres";"Patrícia Candoso"
"You Should Never Leave Me (Before I Die)";"Slimmy"
"Hi, Hello (My Name Is Joe)";"Squeeze Theeze Pleeze"
"Everything Is So Confusing";"Sugarleaf"
"Faz Acontecer";"TT"
