"Brick House";"The Commodores"
"Easy";"The Commodores"
"Do You Love Me";"The Contours"
"Put A Little Love In Your Heart";"David Ruffin"
"Reflections";"Diana Ross & The Supremes"
"I Can't Help Myself";"The Four Tops"
"Reach Out I'll Be There";"The Four Tops"
"This Old Heart Of Mine (Is Weak For You)";"The Isley Brothers"
"ABC";"The Jackson 5"
"I Want You Back";"The Jackson 5"
"What Becomes Of The Broken Hearted";"Jimmy Ruffin"
"My Destiny";"Lionel Richie"
"Dancing In The Street";"Martha Reeves & The Vandellas"
"Jimmy Mack";"Martha Reeves & The Vandellas"
"Nowhere To Run";"Martha Reeves & The Vandellas"
"I Heard It Through The Grapevine";"Marvin Gaye"
"Let's Get It On";"Marvin Gaye"
"What’s Going On?";"Marvin Gaye"
"It Takes Two";"Marvin Gaye & Kim Weston"
"My Guy";"Mary Wells"
"Love Machine";"The Miracles"
"Super Freak";"Rick James"
"Being With You";"Smokey Robinson"
"The Tracks Of My Tears";"Smokey Robinson And The Miracles"
"For Once in My Life";"Stevie Wonder"
"Stop In The Name Of Love";"The Supremes"
"You Can't Hurry Love";"The Supremes"
"Get Ready";"The Temptations"
"Papa Was A Rollin' Stone";"The Temptations"
"Needle In A Haystack";"The Velvelettes"
