"10,000 Nights";"Alphabeat"
"Rehab";"Amy Winehouse"
"I'm Not Gonna Teach Your Boyfriend How To Dance With You";"Black Kids"
"Livin' On A Prayer";"Bon Jovi"
"With You";"Chris Brown"
"Lady In Red";"Chris De Burgh"
"True Colors";"Cyndi Lauper"
"Rosé";"The Feeling"
"Rhythm Is Gonna Get You";"Gloria Estefan"
"No Air";"Jordin Sparks";"Chris Brown"
"Never Miss A Beat";"Kaiser Chiefs"
"Mouthwash";"Kate Nash"
"Human";"The Killers"
"Sex On Fire";"Kings Of Leon"
"Gravity's Rainbow";"Klaxons"
"The World Should Revolve Around Me";"Little Jackie"
"It Must Be Love";"Madness"
"Party People";"Nelly";"Fergie"
"So What";"P!nk"
"Every Little Thing She Does Is Magic";"The Police"
"Bohemian Rhapsody";"Queen"
"Angels";"Robbie Williams"
"Be Mine";"Robyn"
"Somebody's Watching Me";"Rockwell"
"Black And Gold";"Sam Sparro"
"The Man Who Can't Be Moved";"The Script"
"I Decided";"Solange"
"Girls";"Sugababes"
"Changes";"Will Young"
"Bittersweet Symphony";"The Verve"
"Don't Go";"Yazoo"
