"Can You (Point Your Fingers And Do The Twist)";"The Wiggles"
"Dorothy (Would You Like To Dance With Me?)";"The Wiggles"
"Dr Knickerbocker";"The Wiggles"
"Fruit Salad";"The Wiggles"
"Get Ready to Wiggle";"The Wiggles"
"Getting Strong!";"The Wiggles"
"Go Santa Go";"The Wiggles"
"Here Come The Chicken";"The Wiggles"
"Hot Poppin' Popcorn";"The Wiggles";"Jamie Redfern"
"Hot Potato";"The Wiggles"
"I'm Dorothy the Dinosaur!";"The Wiggles"
"Lights, Camera, Action, Wiggles!";"The Wiggles"
"Move Your Arms Like Henry";"The Wiggles"
"Ooh It's Captain Feathersword";"The Wiggles"
"Play Your Guitar With Murray";"The Wiggles"
"Captain Feathersword Fell Asleep on His Pirate Ship (Quack Quack)";"The Wiggles"
"Rock-A-Bye Your Bear";"The Wiggles"
"The Monkey Dance";"The Wiggles"
"The Shimmie Shake!";"The Wiggles"
"To Have A Tea Party";"The Wiggles"
"Toot Toot, Chugga Chugga, Big Red Car";"The Wiggles"
"Twinkle, Twinkle, Little Star";"The Wiggles"
"Wags the Dog Is Chasing His Tail";"The Wiggles"
"Wake Up Jeff!";"The Wiggles"
"Wiggle Bay";"The Wiggles"
