"Hey Brother";"Avicii";"Dan Tyminski"
"Call Me Maybe";"Carly Rae Jepsen"
"Rather Be";"Clean Bandit";"Jess Glynne"
"Magic";"Coldplay"
"Let It Go";"Demi Lovato"
"Burn";"Ellie Goulding"
"I Love It";"Icona Pop";"Charli XCX"
"Can't Get You Out Of My Head";"Kylie Minogue"
"Royals";"Lorde"
"Dear Darlin'";"Olly Murs"
"Best Song Ever";"One Direction"
"Counting Stars";"OneRepublic"
"Just Give Me a Reason";"P!nk";"Nate Ruess"
"Happy";"Pharrell Williams"
"Don't You Worry Child";"Swedish House Mafia";"John Martin"
"Der Letzte Blick";"Xavier Naidoo"
