"Nie Mogę Cię Zapomnieć";"Agnieszka Chylińska"
"Hey Brother";"Avicii";"Dan Tyminski"
"Cisza";"Bednarek"
"Call Me Maybe";"Carly Rae Jepsen"
"Rather Be";"Clean Bandit";"Jess Glynne"
"Magic";"Coldplay"
"Let It Go";"Demi Lovato"
"Lego House";"Ed Sheeran"
"Burn";"Ellie Goulding"
"Skrzydlate Ręce";"Enej"
"I Love It";"Icona Pop";"Charli XCX"
"Wkręceni – nie ufaj mi";"Igor Herbut"
"Love Me Again";"John Newman"
"Za Każdym Razem";"Jula"
"Can't Get You Out Of My Head";"Kylie Minogue"
"Born This Way";"Lady Gaga"
"Hello";"Lionel Richie"
"Royals";"Lorde"
"Best Song Ever";"One Direction"
"Just Give Me a Reason";"P!nk";"Nate Ruess"
"Happy";"Pharrell Williams"
"Bałkanica";"Piersi"
"She Said";"Plan B"
"Tak Blisko";"Rafał Brzozowski"
"Come & Get It";"Selena Gomez"
"Don't You Worry Child";"Swedish House Mafia";"John Martin"
"Pożyczony";"Sylwia Grzeszczak"
"No Scrubs";"TLC"
"Ona Tańczy Dla Mnie";"Weekend"
"Boso";"Zakopower"
