"She Looks So Perfect";"5 Seconds of Summer"
"Hey Brother";"Avicii";"Dan Tyminski"
"Ready Or Not";"Bridgit Mendler"
"Call Me Maybe";"Carly Rae Jepsen"
"Rather Be";"Clean Bandit";"Jess Glynne"
"Magic";"Coldplay"
"Let It Go";"Demi Lovato"
"White Noise";"Disclosure";"Aluna George"
"Lego House";"Ed Sheeran"
"Burn";"Ellie Goulding"
"I Love It";"Icona Pop";"Charli XCX"
"Love Me Again";"John Newman"
"Can't Get You Out Of My Head";"Kylie Minogue"
"Born This Way";"Lady Gaga"
"Hello";"Lionel Richie"
"Royals";"Lorde"
"Haven't Met You Yet";"Michael Buble"
"La La La";"Naughty Boy";"Sam Smith"
"Dear Darlin'";"Olly Murs"
"Best Song Ever";"One Direction"
"Counting Stars";"OneRepublic"
"Just Give Me a Reason";"P!nk";"Nate Ruess"
"Still Into You";"Paramore"
"What Have I Done To Deserve This?";"Pet Shop Boys";"Dusty Springfield"
"Happy";"Pharrell Williams"
"She Said";"Plan B"
"Come & Get It";"Selena Gomez"
"Don't You Worry Child";"Swedish House Mafia";"John Martin"
"Ho Hey";"The Lumineers"
"No Scrubs";"TLC"
"Drive By";"Train"
