"Cryin'";"Aerosmith"
"This Is The Life";"Amy MacDonald"
"Sick And Tired";"Anastacia"
"Copacabana";"Barry Manilow"
"Never Can Say Goodbye";"Communards"
"Space Oddity";"David Bowie"
"Breakfast At Tiffany's";"Deep Blue Something"
"A Good Heart";"Feargal Sharkey"
"Big Girls Don't Cry";"Fergie"
"Emanuela";"Fettes Brot"
"The Sweet Escape";"Gwen Stefani";"Akon"
"Temptation";"Heaven 17"
"Mensch";"Herbert Grönemeyer"
"So Soll Es Bleiben";"Ich + Ich"
"Babooshka";"Kate Bush"
"You Make Me Feel Like Dancing";"Leo Sayer"
"All Night Long";"Lionel Richie"
"Walking In Memphis";"Marc Cohn"
"Billie Jean";"Michael Jackson"
"Killer Queen";"Queen"
"Love Song";"Sara Bareilles"
"For All Lovers";"Stanfour"
"Could It Be Magic";"Take That"
"Say What You Want";"Texas"
"The Way I Are";"Timbaland";"Keri Hilson"
"Shut Up And Let Me Go";"The Ting Tings"
"Dancing In The Moonlight";"Toploader"
"New Soul";"Yael Naim"
