"Kamikaze";"Amaral"
"Baila Mi Corazón";"Belanova"
"Eres Tonto";"El Canto Del Loco"
"Tú No Sabes Que Tanto";"Carlos Baute"
"El Bolsillo Del Revés";"Chenoa"
"Tres Segundos";"Conchita"
"La Primavera Trompetera";"Los Delinqüentes"
"Estoy Aquí";"Despistaos"
"Serenade 07";"Dover"
"Buscando En La Basura";"La Fuga"
"La Chispa Adecuada";"Héroes del Silencio"
"Reina De Los Angelotes";"Huecco"
"Veinte Años";"Jaula De Grillos"
"Por El Boulevard De Los Sueños Rotos";"Joaquín Sabina"
"Me Voy";"Julieta Venegas"
"Con La Mano Levantá";"Macaco"
"Aprendiz";"Malú"
"Roto Por Dentro";"M-Clan"
"No hay marcha en Nueva York";"Mecano"
"Desde Mi Ventana";"Melendi"
"Cuando Me Vaya";"Melocos con Natalia Jiménez"
"Billie Jean";"Michael Jackson"
"Me Gustaría";"MisterCometa"
"Lo Mismo";"No Way Out"
"Cuídate";"La Oreja de Van Gogh"
"Grandes Despedidas";"Pastora"
"Todo";"Pereza"
"Sin Ti";"Pignoise"
"Me Muero";"La Quinta Estación"
"Morir Con Flequillo";"Sin Rumbo"
