"Cryin'";"Aerosmith"
"This Is The Life";"Amy MacDonald"
"Copacabana";"Barry Manilow"
"Viva La Vida";"Coldplay"
"Never Can Say Goodbye";"Communards"
"Space Oddity";"David Bowie"
"Breakfast At Tiffany's";"Deep Blue Something"
"Dance Wiv Me";"Dizzee Rascal";"Calvin Harris & Chrome"
"This Aint A Scene, It's An Arms Race";"Fall Out Boy"
"A Good Heart";"Feargal Sharkey"
"Big Girls Don't Cry";"Fergie"
"The Sweet Escape";"Gwen Stefani";"Akon"
"Kinky Afro";"Happy Mondays"
"Temptation";"Heaven 17"
"Constant Craving";"K.D. Lang"
"Babooshka";"Kate Bush"
"You Make Me Feel Like Dancing";"Leo Sayer"
"All Night Long";"Lionel Richie"
"Billie Jean";"Michael Jackson"
"Ebony And Ivory";"Paul McCartney & Stevie Wonder"
"Killer Queen";"Queen"
"Love Song";"Sara Bareilles"
"1979";"The Smashing Pumpkins"
"Could It Be Magic";"Take That"
"Say What You Want";"Texas"
"The Way I Are";"Timbaland";"Keri Hilson"
"Apologize";"Timbaland";"OneRepublic"
"Shut Up And Let Me Go";"The Ting Tings"
"Baby I Don't Care";"Transvision Vamp"
"Oxford Comma";"Vampire Weekend"
