"The Other Side";"Alexander With"
"Floden";"Bjørn Eidsvåg & Elvira Nikolaisen"
"Toxic";"Britney Spears"
"Lovefool";"The Cardigans"
"Fix You";"Coldplay"
"Love I Can't Defend";"Elvira Nikolaisen"
"Kjærlighet er mer enn forelskelse";"Gaute Ormåsen"
"Feel Good, Inc.";"Gorillaz"
"Maestro";"Kaizers Orchestra"
"Piano";"Karpe Diem"
"Show";"Karpe Diem"
"Perfect Picture";"Lilyjets"
"I Try";"Macy Gray"
"Samantha";"Margaret Berger"
"Just Hold Me";"Maria Mena"
"Don't Save Me";"Marit Larsen"
"Boogeyman";"Mira Craig"
"Hey Ya!";"OutKast"
"Keep It Cool";"Paperboys"
"Beep";"The Pussycat Dolls"
"Losing My Religion";"R.E.M."
"No Surprises";"Radiohead"
"Ås to i Osjlo";"Ravi"
"E-ore";"Ravi & DJ Lov"
"America";"Razorlight"
"Something Stupid";"Robbie Williams & Nicole Kidman"
"Alright";"Supergrass"
"We're Not Gonna Take It";"Twisted Sister"
"Beautiful Day";"U2"
"Love Train";"Wolfmother"
